Код,id,торги,результаты,адрес,старт_цена,ИНН,фз,об_закупки,реестр_недобр_постав,общ_треб
10674,Закупка №0301100022117000151 rss,"404 000,00|408 505,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 450103, Башкортостан Респ, Уфа г, ул МУКСИНОВА, ДОМ 2","409 162,51 Российский рубль",0274033424,44,58.14.11.190.-.Оказание.услуг.по.подписке.и.доставке.периодических.изданий,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1. Непроведение ликвидации Участника аукциона в электронной форме - юридического лица и отсутствие решения арбитражного суда о признании Участника аукциона в электронной форме - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 2. Неприостановление деятельности Участника аукциона в электронной форме в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в аукционе в электронной форме; 3. Отсутствие у Участника аукциона в электронной форме недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется вступившее в законную силу решение суда о признании обязанности заявителя по уплате этих сумм исполненной или которые признаны безнадежными к взысканию в соответствии с законодательством Российской Федерации о налогах и сборах) за прошедший календарный год, размер которых превышает двадцать пять процентов балансовой стоимости активов Участника аукциона в электронной форме, по данным бухгалтерской отчетности за последний отчетный период. Участник аукциона в электронной форме считается соответствующим установленному требованию в случае, если им в установленном порядке подано заявление об обжаловании указанных недоимки, задолженности и решение по такому заявлению на дату рассмотрения заявки на участие в аукционе в электронной форме не принято; 4. Отсутствие у Участника аукциона в электронной форме - физического лица либо у руководителя, членов коллегиального исполнительного органа или главного бухгалтера ю 2 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1. Непроведение ликвидации Участника аукциона в электронной форме - юридического лица и отсутствие решения арбитражного суда о признании Участника аукциона в электронной форме - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 2. Неприостановление деятельности Участника аукциона в электронной форме в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в аукционе в электронной форме; 3. Отсутствие у Участника аукциона в электронной форме недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется вступившее в законную силу решение суда о признании обязанности заявителя по уплате этих сумм исполненной или которые признаны безнадежными к взысканию в соответствии с законодательством Российской Федерации о налогах и сборах) за прошедший календарный год, размер которых превышает двадцать пять процентов балансовой стоимости активов Участника аукциона в электронной форме, по данным бухгалтерской отчетности за последний отчетный период. Участник аукциона в электронной форме считается соответствующим установленному требованию в случае, если им в установленном порядке подано заявление об обжаловании указанных недоимки, задолженности и решение по такому заявлению на дату рассмотрения заявки на участие в аукционе в электронной форме не принято; 4. Отсутствие у Участника аукциона в электронной форме - физического лица либо у руководителя, членов коллегиального исполнительного органа или главного бухгалтера юридического лица - Участника аукциона в электронной форме судимости за преступления в сфере эк 3 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Единые требования к участникам (в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ) Отсутствие в предусмотренном Федеральным законом от 05.04.2013 № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд» реестре недобросовестных Поставщиков (Подрядчиков, Исполнителей) информации об Участнике аукциона в электронной форме, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа Участника аукциона в электронной форме - юридического лица. 4 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Единые требования к участникам (в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ) Отсутствие в предусмотренном Федеральным законом от 05.04.2013 № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд» реестре недобросовестных Поставщиков (Подрядчиков, Исполнителей) информации об Участнике аукциона в электронной форме, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа Участника аукциона в электронной форме - юридического лица."
10692,Закупка №0301300038117000763 rss,"448 800,00|447 040,00|",Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 453120, Башкортостан Респ, Стерлитамак г, УЛ КОММУНИСТИЧЕСКАЯ, 97","479 224,90 Российский рубль",0268025810,44,Закупка.лекарственных.препаратов.(Порактант.альфа),,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10694,Закупка №0301300068217000656 rss,"26 880,34|26 540,00|25 500,00|",|Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 453300, Башкортостан Респ, Кумертау г, УЛ СОВЕТСКАЯ, 39","27 000,00 Российский рубль",0262011585,44,"Закупка.источника.бесперебойного.питания.для.нужд.ГБУЗ.РБ.ГБ.г..Кумертау,.участие.в.котором.могут.принять.только.субъекты.малого.предпринимательства,.социально-ориентированные.некоммерческие.организации",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10695,Закупка №0301300068217000794 rss,"402 000,00|409 000,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 453300, Башкортостан Респ, Кумертау г, УЛ СОВЕТСКАЯ, 39","410 000,00 Российский рубль",0262011585,44,10.11.11.110.-.закупка.продуктов.питания.(мясо.говядины).для.нужд.ГБУЗ.РБ.ГБ.г.Кумертау,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10697,Закупка №0301300118417000231 rss,"254 841,60|250 000,00|",Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 452490, Башкортостан Респ, Салаватский р-н, Малояз с, УЛ 60 ЛЕТ СССР, 6","254 841,60 Российский рубль",0240002604,44,"Оказание.услуг.по.уборке.помещений.(детская.поликлиника,.женская.консультция,.приемный.покой,.Лаклинская.СВА).1.квартал.2018.г",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10698,Закупка №0301300118417000232 rss,"227 125,08|222 000,00|",Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 452490, Башкортостан Респ, Салаватский р-н, Малояз с, УЛ 60 ЛЕТ СССР, 6","227 125,08 Российский рубль",0240002604,44,"Оказание.услуг.по.уборке.помещений.1-го.этажа.поликлиники,.хоз.блока.ГБУЗ.РБ.Малоязовская.РБ.,.Турналинская.СВА.на.1.квартал.2018.г.",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10702,Закупка №0302300029817000036 rss,"499 998,00|499 998,00|","Победитель|Предложение о цене контракта такое же, как у победителя|","Российская Федерация, 671610, Бурятия Респ, Баргузинский р-н, Баргузин с, УЛ ДЗЕРЖИНСКОГО, 26","499 998,00 Российский рубль",0301001255,44,"Капитальный.ремонт.скважины.котельной.расположенной.по.адресу:.671616.Россия,.Республика.Бурятия,.Баргузинский.район,.у..Баянгол.ул..Ленина.д..69В",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10703,Закупка №0302300029817000037 rss,"148 638,00|140 569,00|",Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 671610, Бурятия Респ, Баргузинский р-н, Баргузин с, УЛ ДЗЕРЖИНСКОГО, 26","148 638,00 Российский рубль",0301001255,44,"Капитальный.ремонт.теплотрассы.в.котельной.МБОУ.Читканская.СОШ&nbsp;.Баргузинский.район,.с..Читкан,.ул..Школьная,.40",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Раздел №6.ИЗВЕЩЕНИЕ О ПРОВЕДЕНИИ ЗАПРОСА КОТИРОВОК Единые требования к участникам закупки ч. 1 ст. 31 и ч.1.1. ст. 31, Федерального закона (предъявляются в равной мере ко всем участникам закупки) 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки - юридического лица;"
10710,Закупка №0307300044217000100 rss,"385 758,56|435 000,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 169570, Коми Респ, Вуктыл г, УЛ ГАЗОВИКОВ, 7","485 758,56 Российский рубль",1107000615,44,Оказание.услуг.по.обслуживанию.и.ремонту.технологического.и.холодильного.оборудования,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) участникам закупки: 1) соответствие требованиям, установленным в соответствии с законодательством Российской Федерации к лицам, осуществляющим поставку товара, выполнение работы, оказание услуги, являющихся объектом закупки; 2) непроведение ликвидации участника закупки - юридического лица и отсутствие решения арбитражного суда о признании участника закупки - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 3) неприостановление деятельности участника закупки в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в закупке; 4) отсутствие у участника закупки недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется всту 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ В соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ"
10711,Закупка №0307300044217000101 rss,"396 148,40|446 148,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 169570, Коми Респ, Вуктыл г, УЛ ГАЗОВИКОВ, 7","496 148,40 Российский рубль",1107000615,44,Оказание.услуг.по.обслуживанию.и.ремонту.электросетей.и.электрического.оборудования,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) участникам закупки: 1) соответствие требованиям, установленным в соответствии с законодательством Российской Федерации к лицам, осуществляющим поставку товара, выполнение работы, оказание услуги, являющихся объектом закупки; 2) непроведение ликвидации участника закупки - юридического лица и отсутствие решения арбитражного суда о признании участника закупки - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 3) неприостановление деятельности участника закупки в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в закупке; 4) отсутствие у участника закупки недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется всту 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ В соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ"
10716,Закупка №0311100004117000113 rss,"436 000,00|432 737,75|",Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 423580, Татарстан Респ, Нижнекамский р-н, Нижнекамск г, ТЕР ПРОМЗОНА","462 737,75 Российский рубль",1651020150,44,"Закупка.товаров,.работ,.услуг.в.целях.капитального.ремонта.государственного.имущества..(изделия.сантехнические)",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) участникам закупки: 1) соответствие требованиям, установленным в соответствии с законодательством Российской Федерации к лицам, осуществляющим поставку товара, выполнение работы, оказание услуги, являющихся объектом закупки; 2) непроведение ликвидации участника закупки - юридического лица и отсутствие решения арбитражного суда о признании участника закупки - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 3) неприостановление деятельности участника закупки в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в закупке; 4) отсутствие у участника закупки недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется всту 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ В соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ"
10719,Закупка №0311300296217000001 rss,"4 704,00|4 710,30|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 422885, Татарстан Респ, Алькеевский р-н, Верхнее Альмурзино с, УЛ ПИОНЕРСКАЯ, 26","4 714,50 Российский рубль",Часовая зона,44,Хлеб.недлительного.хранения.из.пшеничной.муки,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) участникам закупки: 1) соответствие требованиям, установленным в соответствии с законодательством Российской Федерации к лицам, осуществляющим поставку товара, выполнение работы, оказание услуги, являющихся объектом закупки; 2) непроведение ликвидации участника закупки - юридического лица и отсутствие решения арбитражного суда о признании участника закупки - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 3) неприостановление деятельности участника закупки в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в закупке; 4) отсутствие у участника закупки недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется всту 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ В соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ"
10720,Закупка №0313200018617000041 rss,"112 060,00|117 850,00|114 000,00|",Победитель||Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 426033, Удмуртская Респ, Ижевск г, УЛ КИРОВА, 22","121 622,38 Российский рубль",1831088158,44,Оказание..услуг.по.мойке.автомобилей.КУ.УР.«Управтодор»,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) 1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) участникам закупки: 1) соответствие требованиям, установленным в соответствии с законодательством Российской Федерации к лицам, осуществляющим поставку товара, выполнение работы, оказание услуги, являющихся объектом закупки; 2) непроведение ликвидации участника закупки - юридического лица и отсутствие решения арбитражного суда о признании участника закупки - юридического лица или индивидуального предпринимателя несостоятельным (банкротом) и об открытии конкурсного производства; 3) неприостановление деятельности участника закупки в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на дату подачи заявки на участие в закупке; 4) отсутствие у участника закупки недоимки по налогам, сборам, задолженности по иным обязательным платежам в бюджеты бюджетной системы Российской Федерации (за исключением сумм, на которые предоставлены отсрочка, рассрочка, инвестиционный налоговый кредит в соответствии с законодательством Российской Федерации о налогах и сборах, которые реструктурированы в соответствии с законодательством Российской Федерации, по которым имеется всту 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ В соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ"
